Time(longsecs),Time(UTC),Temperature(&deg;C),Sensor SOH Voltage 1(V),Sensor SOH Voltage 2(V),Sensor SOH Voltage 3(V),
1507315037,2017-10-06 18:37:17.586,2.1928436E1,1.2584639E0,1.2515469E0,1.2624302E0,
1507315097,2017-10-06 18:38:17.586,2.2161926E1,1.2514372E0,1.2458391E0,1.250207E0,
1507315157,2017-10-06 18:39:17.589,2.2292358E1,1.2398634E0,1.2370253E0,1.2441387E0,
1507315217,2017-10-06 18:40:17.586,2.2391205E1,1.2483845E0,1.2427568E0,1.2562475E0,
1507315277,2017-10-06 18:41:17.586,2.2504791E1,1.2550468E0,1.251153E0,1.2619152E0,
1507315337,2017-10-06 18:42:17.586,2.2644684E1,1.2622643E0,1.2551022E0,1.2594633E0,
1507315397,2017-10-06 18:43:17.585,2.2561584E1,1.2532778E0,1.2426176E0,1.2500906E0,
1507315457,2017-10-06 18:44:17.586,2.2872925E1,1.2433195E0,1.2384615E0,1.2465067E0,
1507315517,2017-10-06 18:45:17.586,2.286557E1,1.2503271E0,1.2427692E0,1.2526426E0,
1507315577,2017-10-06 18:46:17.586,2.2998077E1,5.306816E-2,5.488777E-2,5.464363E-2,
1507315637,2017-10-06 18:47:17.590,2.2979156E1,-1.1638908E0,-1.162528E0,-1.1746387E0,
1507315697,2017-10-06 18:48:17.588,2.2757233E1,-1.1697149E0,-1.1649008E0,-1.1752834E0,
1507315757,2017-10-06 18:49:17.585,2.32789E1,-1.1684427E0,-1.167304E0,-1.1734171E0,
1507315817,2017-10-06 18:50:17.590,2.3064331E1,-1.1701775E0,-1.1638994E0,-1.1743069E0,
1507315877,2017-10-06 18:51:17.585,2.3349365E1,-1.1788225E0,-1.173934E0,-1.1789675E0,
1507315937,2017-10-06 18:52:17.590,2.332727E1,-1.1741028E0,-1.1726856E0,-1.1800957E0,
1507315997,2017-10-06 18:53:17.586,2.344928E1,-1.1741161E0,-1.1738415E0,-1.1903057E0,
1507316057,2017-10-06 18:54:17.585,2.3499756E1,-1.1888409E0,-1.1804972E0,-1.1882782E0,
1507316477,2017-10-06 19:01:17.584,2.3442963E1,-1.1744881E0,-1.1699352E0,-1.1792469E0,
1507316537,2017-10-06 19:02:17.584,2.3574432E1,-1.182086E0,-1.1808538E0,-1.1852703E0,
1507316597,2017-10-06 19:03:17.584,2.3583923E1,-1.1817026E0,-1.1750107E0,-1.1832867E0,
1507316657,2017-10-06 19:04:17.584,2.3633331E1,-1.1769505E0,-1.1751184E0,-1.185935E0,
1507316717,2017-10-06 19:05:17.585,2.3766907E1,-1.1930141E0,-1.1897659E0,-1.1967382E0,
1507316117,2017-10-06 18:55:17.585,2.360495E1,-1.1845179E0,-1.1775894E0,-1.1856976E0,
1507316177,2017-10-06 18:56:17.585,2.3739563E1,-1.1896648E0,-1.1819334E0,-1.1907625E0,
1507316237,2017-10-06 18:57:17.585,2.356604E1,-1.1942635E0,-1.1868486E0,-1.1986704E0,
1507316297,2017-10-06 18:58:17.586,2.3596527E1,-1.1695471E0,-1.1640921E0,-1.171567E0,
1507316357,2017-10-06 18:59:17.585,2.3665955E1,-1.1779814E0,-1.1804934E0,-1.1897535E0,
1507316417,2017-10-06 19:00:17.584,2.3819489E1,-1.1931515E0,-1.186717E0,-1.2011042E0,
1507316777,2017-10-06 19:06:17.584,2.3593384E1,-1.1887503E0,-1.1878986E0,-1.1970682E0,
1507316837,2017-10-06 19:07:17.584,2.3598633E1,-1.1701813E0,-1.1685448E0,-1.1832867E0,
1507316897,2017-10-06 19:08:17.613,2.3489258E1,-1.1742687E0,-1.1684618E0,-1.1784048E0,
1507316957,2017-10-06 19:09:17.584,2.3640717E1,-1.1795139E0,-1.1711597E0,-1.1772442E0,
1507317017,2017-10-06 19:10:17.584,2.3481903E1,-1.1711864E0,-1.1705303E0,-1.181633E0,
1507317077,2017-10-06 19:11:17.584,2.367752E1,-1.180212E0,-1.177701E0,-1.1861382E0,
1507317137,2017-10-06 19:12:17.584,2.3558655E1,-1.1825418E0,-1.1821718E0,-1.1933765E0,
1507317197,2017-10-06 19:13:17.584,2.3550262E1,-1.1800661E0,-1.1709976E0,-1.1828108E0,
1507317257,2017-10-06 19:14:17.587,2.3344116E1,-1.1821146E0,-1.1838818E0,-1.1911087E0,
1507317317,2017-10-06 19:15:17.584,2.3538696E1,-1.1739216E0,-1.1737165E0,-1.1815796E0,
1507317377,2017-10-06 19:16:17.596,2.3480835E1,-1.1813993E0,-1.1861553E0,-1.1898289E0,
1507317437,2017-10-06 19:17:17.585,2.3477692E1,-1.1846886E0,-1.1747408E0,-1.1845894E0,
1507317497,2017-10-06 19:18:17.585,2.3503967E1,-1.1810303E0,-1.1801176E0,-1.1843996E0,
1507317557,2017-10-06 19:19:17.611,2.3494507E1,-1.1831131E0,-1.1769981E0,-1.1899652E0,
1507317617,2017-10-06 19:20:17.589,2.3576538E1,-1.1777554E0,-1.1785755E0,-1.1800508E0,
1507317677,2017-10-06 19:21:17.587,2.3582855E1,-1.1830778E0,-1.1781807E0,-1.1904354E0,
1507317737,2017-10-06 19:22:17.597,2.3689087E1,-1.1816139E0,-1.176178E0,-1.1894102E0,
1507317797,2017-10-06 19:23:17.585,2.3772186E1,-1.1780577E0,-1.1768084E0,-1.1839724E0,
1507317857,2017-10-06 19:24:17.596,2.3741669E1,-1.1822548E0,-1.1783209E0,-1.1918287E0,
1507317917,2017-10-06 19:25:17.585,2.3859467E1,-1.1673126E0,-1.1661596E0,-1.1801414E0,
1507317977,2017-10-06 19:26:17.586,2.3908905E1,-1.163765E0,-1.1582575E0,-1.178256E0,
1507318037,2017-10-06 19:27:17.585,2.3747986E1,-1.1864109E0,-1.1796236E0,-1.1851225E0,
1507318097,2017-10-06 19:28:17.584,2.3903656E1,-1.1792164E0,-1.1750107E0,-1.1932917E0,
1507318157,2017-10-06 19:29:17.584,2.3686981E1,-1.188057E0,-1.1825027E0,-1.1877384E0,
1507318217,2017-10-06 19:30:17.612,2.3923615E1,-1.1643591E0,-1.1634912E0,-1.1698313E0,
1507318277,2017-10-06 19:31:17.613,2.3660675E1,-1.1717844E0,-1.1732283E0,-1.1769457E0,
1507318337,2017-10-06 19:32:17.585,2.3900482E1,-1.1887445E0,-1.1798277E0,-1.1901741E0,
1507318397,2017-10-06 19:33:17.585,2.3708008E1,-1.1809635E0,-1.1697378E0,-1.1831598E0,
1507318457,2017-10-06 19:34:17.586,2.3659637E1,-1.1789856E0,-1.1709452E0,-1.1824913E0,
1507318517,2017-10-06 19:35:17.585,2.3627045E1,-1.1752691E0,-1.1770878E0,-1.1696568E0,
1507318577,2017-10-06 19:36:17.585,2.3777435E1,-1.1743279E0,-1.1708164E0,-1.1767282E0,
1507318637,2017-10-06 19:37:17.586,2.3683838E1,-1.1731195E0,-1.1747999E0,-1.178379E0,
1507318697,2017-10-06 19:38:17.611,2.3897339E1,-1.1735878E0,-1.171421E0,-1.1830063E0,
1507318757,2017-10-06 19:39:17.585,2.3978333E1,-1.1733427E0,-1.1675873E0,-1.178628E0,
1507318817,2017-10-06 19:40:17.611,2.4019348E1,-1.1858912E0,-1.1813574E0,-1.1882076E0,
1507318877,2017-10-06 19:41:17.584,2.4063507E1,-1.1670866E0,-1.1615534E0,-1.1791162E0,
1507318937,2017-10-06 19:42:17.585,2.4076141E1,-1.17873E0,-1.1727934E0,-1.1819496E0,
1507318997,2017-10-06 19:43:17.584,2.4162384E1,-1.1783829E0,-1.1792727E0,-1.1897116E0,
1507319057,2017-10-06 19:44:17.584,2.3869995E1,-1.1805162E0,-1.1685324E0,-1.180006E0,
1507319117,2017-10-06 19:45:17.584,2.3902588E1,-1.1883516E0,-1.185772E0,-1.1886292E0,
1507319177,2017-10-06 19:46:17.584,2.3835266E1,-1.1790371E0,-1.1730156E0,-1.1924849E0,
1507319237,2017-10-06 19:47:17.584,2.3879456E1,-1.1738768E0,-1.173995E0,-1.1814651E0,
1507319297,2017-10-06 19:48:17.584,2.3523956E1,-1.17453E0,-1.1627045E0,-1.1746883E0,
1507319357,2017-10-06 19:49:17.584,2.3640717E1,-1.1791258E0,-1.180975E0,-1.18748E0,
1507319417,2017-10-06 19:50:17.584,2.3612305E1,-1.1749353E0,-1.1731958E0,-1.1876335E0,
1507319477,2017-10-06 19:51:17.584,2.3650177E1,-1.1733208E0,-1.1691208E0,-1.1781044E0,
1507319537,2017-10-06 19:52:17.584,2.3483978E1,-1.175602E0,-1.1795912E0,-1.1976385E0,
1507319597,2017-10-06 19:53:17.584,2.3750092E1,-1.1783295E0,-1.1683359E0,-1.1781902E0,
1507319657,2017-10-06 19:54:17.584,2.3588104E1,-1.1716528E0,-1.1648159E0,-1.1692877E0,
1507319717,2017-10-06 19:55:17.584,2.3498718E1,-1.1784763E0,-1.1661568E0,-1.1782808E0,
1507319777,2017-10-06 19:56:17.584,2.372168E1,-1.1754093E0,-1.172534E0,-1.1824665E0,
1507319837,2017-10-06 19:57:17.584,2.3680664E1,-1.1860619E0,-1.1735191E0,-1.1764336E0,
1507319897,2017-10-06 19:58:17.584,2.3715393E1,-1.1872377E0,-1.1843119E0,-1.1931238E0,
1507319957,2017-10-06 19:59:17.584,2.367752E1,-1.1834745E0,-1.1796455E0,-1.1868839E0,
1507320017,2017-10-06 20:00:17.584,2.3453491E1,-1.181509E0,-1.1738186E0,-1.1827164E0,
1507320077,2017-10-06 20:01:17.584,2.362912E1,-1.1776047E0,-1.175828E0,-1.1848774E0,
1507320137,2017-10-06 20:02:17.584,2.3843689E1,-1.1845579E0,-1.1806011E0,-1.1928492E0,
1507320197,2017-10-06 20:03:17.584,2.3648071E1,-1.1839466E0,-1.1803894E0,-1.1897144E0,
1507320257,2017-10-06 20:04:17.584,2.3549194E1,-1.1678247E0,-1.1664448E0,-1.1746712E0,
1507320317,2017-10-06 20:05:17.584,2.3519745E1,-1.2188101E0,-1.163271E0,-1.1725197E0,
1507320377,2017-10-06 20:06:17.584,2.3441925E1,-1.1632967E0,-1.1562357E0,-1.1658039E0,
1507320437,2017-10-06 20:07:17.584,2.3465057E1,-1.1833868E0,-1.1781044E0,-1.190898E0,
1507320497,2017-10-06 20:08:17.584,2.3508179E1,-1.1753321E0,-1.172761E0,-1.1806536E0,
1507320557,2017-10-06 20:09:17.584,2.3430359E1,-1.1841049E0,-1.1762743E0,-1.1872778E0,
1507320617,2017-10-06 20:10:17.584,2.343457E1,-1.1797066E0,-1.1679258E0,-1.1798086E0,
1507320677,2017-10-06 20:11:17.584,2.3397736E1,-1.1865435E0,-1.1775427E0,-1.1925955E0,
1507320737,2017-10-06 20:12:17.586,2.335672E1,-1.1845303E0,-1.1721344E0,-1.184659E0,
1507320797,2017-10-06 20:13:17.589,2.3376709E1,-1.1879196E0,-1.1859188E0,-1.193366E0,
1507320857,2017-10-06 20:14:17.584,2.33378E1,-1.1651983E0,-1.161293E0,-1.1712065E0,
1507320917,2017-10-06 20:15:17.584,2.3124298E1,-1.1741266E0,-1.1685619E0,-1.1780882E0,
1507320977,2017-10-06 20:16:17.584,2.3295715E1,-1.1789875E0,-1.1807957E0,-1.1889076E0,
1507321037,2017-10-06 20:17:17.584,2.331781E1,-1.1694727E0,-1.1643391E0,-1.1720238E0,
1507321097,2017-10-06 20:18:17.584,2.3287323E1,-1.1682882E0,-1.1612549E0,-1.1769457E0,
1507321157,2017-10-06 20:19:17.614,2.3237885E1,-1.180439E0,-1.1767921E0,-1.1859665E0,
1507321217,2017-10-06 20:20:17.584,2.3163208E1,-1.1625261E0,-1.1609268E0,-1.1687126E0,
1507321277,2017-10-06 20:21:17.584,2.3182129E1,-1.1703949E0,-1.1685953E0,-1.1760435E0,
1507321337,2017-10-06 20:22:17.584,2.3133759E1,-1.1738329E0,-1.1676941E0,-1.1778374E0,
1507321397,2017-10-06 20:23:17.584,2.3325165E1,-1.1621704E0,-1.1634369E0,-1.173996E0,
1507321457,2017-10-06 20:24:17.584,2.3119019E1,-1.1701002E0,-1.1692724E0,-1.1784573E0,
1507321517,2017-10-06 20:25:17.584,2.3073792E1,-1.1742458E0,-1.1672297E0,-1.1712666E0,
1507321577,2017-10-06 20:26:17.584,2.3047516E1,-1.1837139E0,-1.1788692E0,-1.1875429E0,
1507321637,2017-10-06 20:27:17.584,2.3295715E1,-1.1695118E0,-1.1662369E0,-1.1760712E0,
1507321697,2017-10-06 20:28:17.584,2.3256805E1,-1.1798153E0,-1.1745176E0,-1.1807709E0,
1507321757,2017-10-06 20:29:17.584,2.3228424E1,-1.1760912E0,-1.1716633E0,-1.1837063E0,
1507321817,2017-10-06 20:30:17.584,2.3331482E1,-1.178256E0,-1.1710691E0,-1.1785755E0,
1507321877,2017-10-06 20:31:17.584,2.322525E1,-1.1747808E0,-1.173461E0,-1.1819019E0,
1507321937,2017-10-06 20:32:17.609,2.3236816E1,-1.1833668E0,-1.1790295E0,-1.1887045E0,
1507321997,2017-10-06 20:33:17.584,2.2914978E1,-1.162096E0,-1.1573639E0,-1.1648808E0,
1507322057,2017-10-06 20:34:17.609,2.313797E1,-1.164279E0,-1.1641989E0,-1.1715364E0,
1507322117,2017-10-06 20:35:17.584,2.3048553E1,-1.1703167E0,-1.1666155E0,-1.17525E0,
1507322177,2017-10-06 20:36:17.584,2.3047516E1,-1.1686287E0,-1.1671219E0,-1.1774693E0,
1507322237,2017-10-06 20:37:17.584,2.317163E1,-1.1824608E0,-1.1810408E0,-1.1875811E0,
1507322297,2017-10-06 20:38:17.584,2.3331482E1,-1.1744823E0,-1.1718407E0,-1.184927E0,
1507322357,2017-10-06 20:39:17.584,2.3122192E1,-1.1665668E0,-1.1643972E0,-1.1717157E0,
1507322417,2017-10-06 20:40:17.584,2.3188446E1,-1.1724377E0,-1.1741009E0,-1.1812315E0,
1507322477,2017-10-06 20:41:17.587,2.3168457E1,-1.181179E0,-1.1779041E0,-1.1906605E0,
1507322537,2017-10-06 20:42:17.584,2.3158997E1,-1.1716442E0,-1.160635E0,-1.1743727E0,
